,algorithm,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,KNN,test,0.019217120821146287,2.4149759513285055e-07,5.3223013092899914e-08,2.937851141255591e-06,42.5,2.257976564216318e-07
1,KNN,train,0.005769704285687266,7.129935377658882e-08,1.519367114075489e-08,2.814817016000448e-06,42.5,6.68441787921876e-08
2,SVC,test,0.041798885270109117,5.268117076588249e-07,1.1322621127170291e-07,2.8295024913217167e-06,42.5,4.92300256228219e-07
3,SVC,train,0.29797978149835314,3.765002804929795e-06,8.368436610441782e-07,2.991856182700591e-06,42.5,3.5169362007316266e-06
4,adaBoost,test,0.021397230891638527,2.6913396820097024e-07,5.992575553003643e-08,2.9012032178005046e-06,42.5,2.5158390508812336e-07
5,adaBoost,train,0.08202137134024973,1.0355943010979675e-06,2.3422261222371118e-07,2.9840509316492752e-06,42.5,9.67475593972986e-07
6,decisionTree,test,0.003515984485533764,4.2627796680690265e-08,9.478291838218128e-09,2.8057770562433984e-06,42.5,4.0086987365741137e-08
7,decisionTree,train,0.027862100327272606,3.509487137972215e-07,8.303738069452147e-08,2.906091096943424e-06,42.5,3.279900090892176e-07
8,logisticRegression,test,0.007471512418730176,9.289419450926604e-08,2.0577544802301916e-08,2.788317993357847e-06,42.5,8.699561596322833e-08
9,logisticRegression,train,0.5843054481217,7.3838283029161965e-06,1.6673923183547901e-06,2.9344866053544062e-06,42.5,6.897161584164049e-06
10,naiveBayes,test,0.05704716017483502,7.196415172242055e-07,1.618723974149455e-07,2.8881235494320424e-06,42.5,6.724001938142453e-07
11,naiveBayes,train,0.015320812508968279,1.9224115414170926e-07,4.1061805109816486e-08,2.879147548200972e-06,42.5,1.7977871578916258e-07
12,randomForest,test,0.017785858008913493,2.2349460200800458e-07,4.887711924785021e-08,2.9317765569487943e-06,42.5,2.0895611547358488e-07
13,randomForest,train,0.27410664563234605,3.4635548737484225e-06,7.698449938530668e-07,2.987010296556789e-06,42.5,3.23532467340096e-06
